frame_index,ball_x,ball_y,dx,dy,distance_from_center
639,62,75,-2,11,11.180339887498949
640,63,76,-1,12,12.041594578792296
641,63,78,-1,14,14.035668847618199
642,63,79,-1,15,15.033296378372908
643,62,79,-2,15,15.132745950421556
644,62,80,-2,16,16.1245154965971
645,61,81,-3,17,17.26267650163207
646,61,81,-3,17,17.26267650163207
647,61,82,-3,18,18.24828759089466
648,60,82,-4,18,18.439088914585774
649,60,82,-4,18,18.439088914585774
650,60,81,-4,17,17.46424919657298
651,60,81,-4,17,17.46424919657298
652,60,81,-4,17,17.46424919657298
653,60,80,-4,16,16.492422502470642
654,60,80,-4,16,16.492422502470642
655,60,79,-4,15,15.524174696260024
656,60,78,-4,14,14.560219778561036
657,60,77,-4,13,13.601470508735444
658,60,76,-4,12,12.649110640673518
659,60,76,-4,12,12.649110640673518
660,60,75,-4,11,11.704699910719626
661,61,73,-3,9,9.486832980505138
662,61,72,-3,8,8.54400374531753
663,61,71,-3,7,7.615773105863909
664,61,71,-3,7,7.615773105863909
665,62,69,-2,5,5.385164807134504
666,62,69,-2,5,5.385164807134504
667,62,68,-2,4,4.47213595499958
668,62,67,-2,3,3.605551275463989
669,63,67,-1,3,3.1622776601683795
670,63,66,-1,2,2.23606797749979
671,64,66,0,2,2.0
672,64,65,0,1,1.0
673,65,65,1,1,1.4142135623730951
674,65,66,1,2,2.23606797749979
675,66,66,2,2,2.8284271247461903
676,66,66,2,2,2.8284271247461903
677,66,66,2,2,2.8284271247461903
678,67,66,3,2,3.605551275463989
679,67,67,3,3,4.242640687119285
680,67,67,3,3,4.242640687119285
681,67,68,3,4,5.0
682,68,69,4,5,6.4031242374328485
683,68,70,4,6,7.211102550927978
684,68,70,4,6,7.211102550927978
685,68,71,4,7,8.06225774829855
686,70,72,6,8,10.0
687,70,73,6,9,10.816653826391969
688,70,74,6,10,11.661903789690601
689,71,76,7,12,13.892443989449804
690,72,77,8,13,15.264337522473747
691,72,78,8,14,16.1245154965971
692,72,80,8,16,17.88854381999832
693,73,81,9,17,19.235384061671343
694,74,82,10,18,20.591260281974
695,74,83,10,19,21.470910553583888
696,74,84,10,20,22.360679774997898
697,74,85,10,21,23.259406699226016
698,75,86,11,22,24.596747752497688
699,75,86,11,22,24.596747752497688
700,75,86,11,22,24.596747752497688
701,75,87,11,23,25.495097567963924
702,75,87,11,23,25.495097567963924
703,75,87,11,23,25.495097567963924
704,74,86,10,22,24.166091947189145
705,74,86,10,22,24.166091947189145
706,74,86,10,22,24.166091947189145
707,74,85,10,21,23.259406699226016
708,73,84,9,20,21.93171219946131
709,73,84,9,20,21.93171219946131
710,73,83,9,19,21.02379604162864
711,73,83,9,19,21.02379604162864
712,72,82,8,18,19.697715603592208
713,72,81,8,17,18.788294228055936
714,72,80,8,16,17.88854381999832
715,72,79,8,15,17.0
716,72,79,8,15,17.0
717,72,78,8,14,16.1245154965971
718,72,77,8,13,15.264337522473747
719,72,76,8,12,14.422205101855956
720,72,76,8,12,14.422205101855956
721,72,75,8,11,13.601470508735444
722,72,75,8,11,13.601470508735444
723,72,74,8,10,12.806248474865697
724,72,74,8,10,12.806248474865697
725,73,74,9,10,13.45362404707371
726,73,74,9,10,13.45362404707371
